Date,Open,High,Low,Close,Adj Close,Volume
2/1/1993,43.96875,44.25,43.96875,44.25,25.900297,480500
2/2/1993,44.21875,44.375,44.125,44.34375,25.95516,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,26.229534,529400
2/4/1993,44.96875,45.09375,44.46875,45,26.339272,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,26.320992,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,26.320992,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,26.138079,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,26.174665,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,26.30271,19500
2/12/1993,44.875,44.875,44.59375,44.59375,26.101501,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,25.443016,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,25.424713,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,25.406427,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,25.497894,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,25.589336,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,25.571062,373700
2/24/1993,43.71875,44.25,43.71875,44.25,25.900297,26300
2/25/1993,44.21875,44.375,44.125,44.34375,25.95516,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,25.991751,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,25.918585,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,26.30271,182400
3/3/1993,45,45.15625,44.9375,45.125,26.412449,280100
3/4/1993,45.1875,45.1875,44.875,44.875,26.266106,89500
3/5/1993,44.9375,45.125,44.71875,44.75,26.192942,40000
3/8/1993,44.84375,45.75,44.84375,45.75,26.778265,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,26.686821,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,26.741693,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,26.66853,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,26.394157,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,26.522215,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,26.522215,30800
3/17/1993,45.25,45.25,44.96875,45.03125,26.357567,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,26.522215,59300
3/19/1993,45.28125,45.28125,45.03125,45.03125,26.482059,66900
3/22/1993,44.59375,44.875,44.5625,44.78125,26.335051,183400
3/23/1993,44.90625,44.9375,44.8125,44.875,26.390169,55200
3/24/1993,44.8125,45.0625,44.59375,44.875,26.390169,37200
3/25/1993,44.90625,45.25,44.84375,45.15625,26.555563,110100
3/26/1993,45.125,45.15625,44.875,44.90625,26.408546,101500
3/29/1993,44.9375,45.3125,44.9375,45.09375,26.518806,87100
3/30/1993,45.15625,45.21875,45.09375,45.21875,26.592316,56000
3/31/1993,45.34375,45.46875,45.1875,45.1875,26.573952,111600
4/1/1993,45.25,45.25,44.9375,45.03125,26.482059,129500
4/2/1993,44.65625,44.65625,44.09375,44.09375,25.930733,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,26.059359,172200
4/6/1993,44.40625,44.40625,44.0625,44.1875,25.985861,129700
4/7/1993,44.25,44.34375,44.15625,44.34375,26.077761,28000
4/8/1993,44.53125,44.53125,44.09375,44.28125,26.040989,180800
4/12/1993,44.71875,44.9375,44.65625,44.90625,26.408546,348500
4/13/1993,44.875,45.15625,44.84375,45,26.463676,146100
4/14/1993,45.03125,45.0625,44.90625,44.9375,26.426924,119600
4/15/1993,44.90625,45.03125,44.75,44.9375,26.426924,148600
4/16/1993,44.96875,45.03125,44.875,44.9375,26.426924,47900
4/19/1993,44.9375,45.0625,44.71875,44.75,26.31665,157000
4/20/1993,44.6875,44.75,44.25,44.53125,26.188019,279500
4/21/1993,44.625,44.625,44.375,44.5,26.169638,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,25.838852,97700
4/23/1993,43.84375,43.96875,43.6875,43.75,25.72858,106000
4/26/1993,43.78125,43.9375,43.28125,43.40625,25.526423,62600
4/27/1993,43.34375,43.875,43.34375,43.875,25.802078,156800
4/28/1993,43.8125,43.90625,43.71875,43.78125,25.746943,85900
4/29/1993,43.875,43.96875,43.625,43.96875,25.857224,85000
4/30/1993,44.125,44.28125,44.03125,44.03125,25.893978,88500
5/3/1993,44.09375,44.3125,43.90625,44.3125,26.059359,80500
5/4/1993,44.40625,44.625,44.34375,44.46875,26.151257,149100
5/5/1993,44.46875,44.75,44.46875,44.59375,26.224775,109000
5/6/1993,44.53125,44.5625,44.40625,44.4375,26.132889,54700
5/7/1993,44.46875,44.46875,44.28125,44.34375,26.077761,68000
5/10/1993,44.40625,44.6875,44.40625,44.4375,26.132889,113900
5/11/1993,44.4375,44.625,44.3125,44.625,26.243155,42600
5/12/1993,44.4375,44.59375,44.4375,44.5625,26.2064,31000
5/13/1993,44.375,44.375,44,44.03125,25.893978,129100
5/14/1993,44.03125,44.15625,43.96875,44,25.875599,63500
5/17/1993,44.125,44.15625,43.9375,44.15625,25.967478,34000
5/18/1993,44.1875,44.21875,43.96875,44.125,25.949114,105200
5/19/1993,44.125,45.03125,43.84375,45.03125,26.482059,50200
5/20/1993,45.03125,45.15625,44.9375,45.15625,26.555563,98200
5/21/1993,45.1875,45.25,44.71875,44.75,26.31665,221400
5/24/1993,44.84375,45.09375,44.84375,44.9375,26.426924,30500
5/25/1993,45.125,45.125,45.03125,45.03125,26.482059,191800
5/26/1993,45.15625,45.625,45.125,45.59375,26.812847,102400
5/27/1993,45.65625,45.65625,45.375,45.4375,26.720966,53800
5/28/1993,45.40625,45.40625,45,45.21875,26.592316,79100
6/1/1993,45.375,45.8125,45.3125,45.65625,26.849613,28300
6/2/1993,45.53125,45.75,45.34375,45.59375,26.812847,20300
6/3/1993,45.5,45.5,45.34375,45.4375,26.720966,21600
6/4/1993,45.3125,45.3125,45.09375,45.28125,26.62908,32000
6/7/1993,45.375,45.375,45.125,45.125,26.537201,121400
6/8/1993,45,45,44.71875,44.71875,26.298275,104500
6/9/1993,44.875,45.0625,44.8125,44.875,26.390169,43300
6/10/1993,44.84375,44.9375,44.75,44.90625,26.408546,17900
6/11/1993,45.0625,45.15625,44.90625,45.09375,26.518806,647400
6/14/1993,45.15625,45.1875,45.03125,45.03125,26.482059,64200
6/15/1993,45.09375,45.125,44.9375,44.9375,26.426924,142400
6/16/1993,44.9375,45.03125,44.8125,45.03125,26.482059,330900
6/17/1993,45.125,45.1875,45.03125,45.1875,26.573952,37400
6/18/1993,44.84375,44.84375,44.5,44.5,26.355106,58500
6/21/1993,44.625,44.625,44.53125,44.59375,26.410635,29300
6/22/1993,44.65625,44.65625,44.5625,44.625,26.429146,137500
6/23/1993,44.625,44.625,44.21875,44.21875,26.188534,227600
6/24/1993,44.34375,44.8125,44.34375,44.8125,26.540188,243700
6/25/1993,44.78125,44.90625,44.75,44.78125,26.521696,44800
